eval_index,canonical_hv,display_hv,pareto_size
1,0.325842057778605,0.8146051444465124,1
2,0.8664409985068752,2.1661024962671878,2
3,1.0494311817987168,2.623577954496792,3
4,1.0494311817987168,2.623577954496792,3
5,1.0497458210254211,2.6243645525635526,4
6,1.0497458210254211,2.6243645525635526,4
7,1.2011543160957407,3.0028857902393518,5
8,1.2017704470468533,3.004426117617133,6
9,1.2116824166374625,3.029206041593656,6
10,1.211688967338104,3.0292224183452596,7
11,1.2133049859165386,3.0332624647913464,6
12,1.213842669194935,3.0346066729873376,7
13,1.2159689072772892,3.039922268193223,8
14,1.2170441102849585,3.0426102757123963,9
15,1.2172003701390386,3.0430009253475965,10
16,1.217230995358966,3.0430774883974148,11
17,1.2173780344605865,3.043445086151466,12
18,1.3655039775500035,3.4137599438750086,12
19,1.3657931663221838,3.4144829158054595,13
20,1.3679730590185284,3.4199326475463208,12
21,1.3682731642339712,3.4206829105849277,11
22,1.370185248540691,3.425463121351727,12
23,1.546750854095186,3.866877135237965,13
24,1.546750854095186,3.866877135237965,13
25,1.5517062758243447,3.8792656895608615,13
26,1.5572900969748609,3.893225242437152,14
27,1.5572947017364631,3.8932367543411575,14
28,1.5637731293571855,3.9094328233929634,14
29,1.5643297091717128,3.9108242729292817,14
30,1.5643297596550423,3.9108243991376055,15
31,1.565099230631073,3.912748076577682,16
32,1.5652007010281048,3.913001752570262,17
33,1.5656033081289695,3.9140082703224235,18
34,1.5657530477815078,3.9143826194537694,19
35,1.5988832363708678,3.9972080909271694,20
36,1.5988833617342597,3.997208404335649,21
37,1.5988833617342597,3.997208404335649,21
38,1.5988978543563324,3.997244635890831,20
39,1.5989056902258099,3.9972642255645243,21
40,1.5989068352040525,3.997267088010131,22
41,1.5989436292507804,3.9973590731269506,23
42,1.5989436438674074,3.997359109668518,24
43,1.598946754753862,3.997366886884655,25
44,1.5989467943998592,3.9973669859996477,25
45,1.5989488885267569,3.997372221316892,25
46,1.600051855276017,4.000129638190042,26
47,1.6000996200244733,4.000249050061183,27
48,1.6004654641546356,4.001163660386589,28
49,1.6004671213113046,4.001167803278261,29
50,1.6004671213113046,4.001167803278261,29
51,1.6009147012546547,4.002286753136636,30
52,1.6014709583163742,4.003677395790935,31
53,1.6014709583163742,4.003677395790935,31
54,1.6014709583163742,4.003677395790935,31
55,1.6014742378497901,4.003685594624475,31
56,1.6014742474417822,4.003685618604456,32
