eval_index,canonical_hv,display_hv,pareto_size
1,0.6265184613925289,1.566296153481322,1
2,0.7959039815152281,1.9897599537880701,2
3,1.0307373789600416,2.576843447400104,3
4,1.0321030331849843,2.5802575829624605,4
5,1.0365878184689346,2.5914695461723363,5
6,1.0386138633428144,2.5965346583570357,5
7,1.0386138633428144,2.5965346583570357,5
8,1.0386138633428144,2.5965346583570357,5
9,1.0394660502259818,2.5986651255649544,6
10,1.5527001723715366,3.8817504309288413,7
11,1.5527069068111148,3.881767267027787,8
12,1.5557705561661075,3.8894263904152684,7
13,1.5557920694814182,3.8894801737035456,7
14,1.5557922699242652,3.8894806748106627,8
15,1.5624664516734081,3.90616612918352,9
16,1.5720003096024213,3.930000774006053,10
17,1.5720003096024213,3.930000774006053,10
18,1.5726136412275569,3.931534103068892,11
19,1.572622991066407,3.931557477666017,11
20,1.5726231193269844,3.9315577983174608,12
21,1.5760190353381938,3.940047588345484,9
22,1.5775993789464522,3.9439984473661305,9
23,1.5784427123969367,3.9461067809923414,10
24,1.5807430898392962,3.9518577245982405,10
25,1.5807946116475289,3.951986529118822,11
26,1.5828108443550761,3.95702711088769,11
27,1.5857682359937006,3.9644205899842513,12
28,1.5857682359937006,3.9644205899842513,12
29,1.5879274011657443,3.9698185029143604,13
30,1.5879283947159186,3.9698209867897964,14
31,1.5879284184971456,3.969821046242864,15
32,1.5879307522924955,3.9698268807312385,16
33,1.587967172632782,3.969917931581955,17
34,1.5897369933360512,3.974342483340128,18
35,1.591644554395907,3.9791113859897673,18
36,1.591644681781266,3.9791117044531648,19
37,1.5916988641624834,3.9792471604062083,20
38,1.5918286831849875,3.9795717079624686,20
39,1.5918286985195127,3.9795717462987814,21
40,1.5923375910402167,3.9808439776005415,20
41,1.5923388916885697,3.980847229221424,21
42,1.5925490455655484,3.9813726139138708,22
43,1.592549112270324,3.9813727806758097,22
44,1.592549112270324,3.9813727806758097,22
45,1.5925493371066672,3.981373342766668,23
46,1.5925495547080588,3.9813738867701467,24
47,1.592991786632554,3.9824794665813847,25
48,1.5944051897695541,3.9860129744238852,26
49,1.5944145724053596,3.9860364310133987,27
50,1.5944145724053596,3.9860364310133987,27
51,1.594857670995477,3.987144177488692,28
52,1.5948618290851218,3.987154572712804,28
53,1.5948619569427744,3.9871548923569358,29
54,1.5952328556328275,3.9880821390820684,30
55,1.5956340121563433,3.989085030390858,31
56,1.5956672119594864,3.9891680298987158,32
