eval_index,canonical_hv,display_hv,pareto_size
1,0.8389533641088895,2.0973834102722235,1
2,1.006880236784914,2.5172005919622844,1
3,1.0270156047067653,2.5675390117669132,2
4,1.0289128978507174,2.5722822446267934,3
5,1.0289503296647753,2.572375824161938,4
6,1.0289503296647753,2.572375824161938,4
7,1.032495298029515,2.5812382450737874,5
8,1.0326237993432856,2.5815594983582137,6
9,1.0326237993432856,2.5815594983582137,6
10,1.0340045171514227,2.5850112928785567,7
11,1.037551568977464,2.59387892244366,8
12,1.0445970125318373,2.6114925313295934,9
13,1.045253680996107,2.6131342024902673,10
14,1.045253680996107,2.6131342024902673,10
15,1.0458166007588023,2.6145415018970057,11
16,1.0458224066559498,2.6145560166398742,11
17,1.265593209363693,3.1639830234092323,12
18,1.2663924610823916,3.165981152705979,13
19,1.270655744900985,3.1766393622524625,12
20,1.2727165796362976,3.1817914490907437,11
21,1.273349671803443,3.1833741795086072,12
22,1.2736153936909087,3.1840384842272718,13
23,1.273617499579587,3.1840437489489672,14
24,1.2744414252760037,3.186103563190009,15
25,1.2747330907554373,3.186832726888593,16
26,1.2747336277898125,3.186834069474531,17
27,1.2763513581134713,3.1908783952836783,17
28,1.2763513581134713,3.1908783952836783,17
29,1.386308885678645,3.4657722141966123,17
30,1.3863088873290292,3.4657722183225728,18
31,1.3863088884114287,3.4657722210285717,19
32,1.386518912945629,3.4662972823640725,20
33,1.3865949310340817,3.466487327585204,21
34,1.3865950306033326,3.466487576508331,22
35,1.3866009522461946,3.4665023806154864,23
36,1.386600968831507,3.4665024220787677,24
37,1.3878986212867737,3.469746553216934,24
38,1.5654144219516979,3.9135360548792444,25
39,1.5677462255367405,3.919365563841851,26
40,1.5677463144217754,3.9193657860544384,27
41,1.567746320424471,3.9193658010611774,28
42,1.5702668512187477,3.925667128046869,29
43,1.5702677904200941,3.9256694760502353,30
44,1.5871100138536665,3.967775034634166,31
45,1.5876477480947861,3.969119370236965,32
46,1.5876477480947861,3.969119370236965,32
47,1.587647748756848,3.9691193718921203,33
48,1.5878183302866857,3.969545825716714,34
49,1.5889580342486982,3.9723950856217454,35
50,1.5889580830657306,3.9723952076643263,36
51,1.588958169310896,3.97239542327724,37
52,1.5889582662302453,3.972395665575613,38
53,1.58895834718264,3.9723958679566,39
54,1.58895834718264,3.9723958679566,39
55,1.5893475177421017,3.9733687943552543,40
56,1.5893501621907349,3.973375405476837,40
