eval_index,canonical_hv,display_hv,pareto_size
1,0.49444945611096625,1.2361236402774156,1
2,1.0801288365656043,2.7003220914140105,2
3,1.0801740780435358,2.7004351951088394,3
4,1.0873825059631308,2.718456264907827,4
5,1.0878894121364904,2.7197235303412257,5
6,1.0978109644039291,2.744527411009823,6
7,1.0986589585759874,2.7466473964399682,6
8,1.103983985529058,2.759959963822645,7
9,1.103983985529058,2.759959963822645,7
10,1.1043362769110496,2.760840692277624,8
11,1.1043428320173667,2.7608570800434165,8
12,1.1043464462532073,2.7608661156330183,9
13,1.1043508013396839,2.7608770033492096,10
14,1.1047567177352593,2.761891794338148,11
15,1.1047567750411016,2.761891937602754,12
16,1.1047600660834638,2.7619001652086594,12
17,1.1067889020806916,2.7669722552017286,12
18,1.106788973569631,2.7669724339240775,13
19,1.1088719973930186,2.7721799934825464,14
20,1.1108406645753846,2.7771016614384614,14
21,1.1108408632657112,2.777102158164278,15
22,1.1108409424849708,2.777102356212427,15
23,1.1129893167835352,2.782473291958838,15
24,1.113596529488889,2.7839913237222222,14
25,1.1136107583851431,2.7840268959628576,15
26,1.1136107732744325,2.784026933186081,16
27,1.11361080286174,2.7840270071543496,17
28,1.1137364760481296,2.784341190120324,17
29,1.1137364760481296,2.784341190120324,17
30,1.1145528898142198,2.7863822245355494,15
31,1.3207139024237116,3.301784756059279,16
32,1.3207139157670258,3.3017847894175643,17
33,1.3239828949673949,3.309957237418487,18
34,1.3240112233931662,3.3100280584829154,19
35,1.3241241796951957,3.310310449237989,20
36,1.3241241887045625,3.3103104717614062,21
37,1.324124524849211,3.3103113121230274,22
38,1.3244970575566688,3.311242643891672,23
39,1.5614559133013506,3.9036397832533765,24
40,1.5621074410805897,3.905268602701474,25
41,1.562107490710383,3.905268726775957,26
42,1.5621854918740952,3.9054637296852377,27
43,1.5629573692837302,3.9073934232093253,28
44,1.5629578006150275,3.907394501537569,29
45,1.56298706483383,3.9074676620845747,30
46,1.567821959664711,3.9195548991617772,30
47,1.5678219746225723,3.919554936556431,31
48,1.5696903303091472,3.9242258257728677,32
49,1.5700252066836216,3.925063016709054,33
50,1.5700373912422145,3.925093478105536,34
51,1.5701961744415711,3.9254904361039276,35
52,1.5704597547885069,3.926149386971267,36
53,1.5704597547885069,3.926149386971267,36
54,1.5710375704787396,3.927593926196849,37
55,1.5713758860994853,3.928439715248713,36
56,1.5719387524230193,3.929846881057548,35
