eval_index,hv,plot_band,lower,upper
1,0.13064659220586083,0.011948843542420005,0.11869774866344082,0.14259543574828085
2,0.20200383923848106,0.011948843542420005,0.19005499569606105,0.21395268278090107
3,0.2259754433896838,0.011948843542420005,0.2140265998472638,0.23792428693210382
4,0.22849320727413885,0.011948843542420005,0.21654436373171884,0.24044205081655887
5,0.23273133351425362,0.011948843542420005,0.2207824899718336,0.24468017705667364
6,0.23273133351425362,0.011948843542420005,0.2207824899718336,0.24468017705667364
7,0.2341035473453987,0.011948843542420005,0.2221547038029787,0.24605239088781872
8,0.23934052432543218,0.011948843542420005,0.22739168078301217,0.25128936786785216
9,0.23934052432543218,0.010626684816184201,0.22871383950924798,0.24996720914161638
10,0.23934052432543218,0.011948843542420005,0.22739168078301217,0.25128936786785216
11,0.23934052432543218,0.011948843542420005,0.22739168078301217,0.25128936786785216
12,0.23940117321125892,0.011948843542420005,0.2274523296688389,0.2513500167536789
13,0.2408393746103708,0.011948843542420005,0.2288905310679508,0.2527882181527908
14,0.2887952402457427,0.011267137967961216,0.2775281022777815,0.3000623782137039
15,0.28989468960503656,0.00977514900748215,0.2801195405975544,0.2996698386125187
16,0.2899114401056976,0.009879860288685993,0.2800315798170116,0.29979130039438356
17,0.2918004231127961,0.008289962829123943,0.28351046028367216,0.30009038594192
18,0.29200899314342327,0.009408791536664927,0.28260020160675836,0.3014177846800882
19,0.29202700535786164,0.007694656257295199,0.28433234910056643,0.29972166161515684
20,0.29263875180877685,0.005519518659343046,0.28711923314943383,0.2981582704681199
21,0.29353034722474103,0.007510865382267418,0.2860194818424736,0.30104121260700845
22,0.29423405298957067,0.008195896728913316,0.2860381562606574,0.30242994971848397
23,0.2958288086539292,0.008317729395975878,0.28751107925795333,0.30414653804990505
24,0.2958288086539292,0.007767985742757383,0.2880608229111718,0.3035967943966866
25,0.296818103423187,0.007722554308770903,0.2890955491144161,0.3045406577319579
26,0.2991685611357067,0.0078020828504750395,0.29136647828523166,0.3069706439861818
27,0.29916900473539276,0.006835012081452142,0.2923339926539406,0.3060040168168449
28,0.299470889439808,0.006777126517268276,0.29269376292253974,0.30624801595707624
29,0.32249104912175924,0.00740360148145253,0.3150874476403067,0.32989465060321177
30,0.32318794319710553,0.005362984658137353,0.3178249585389682,0.32855092785524287
31,0.3233020455328716,0.004522482870013615,0.318779562662858,0.32782452840288523
32,0.3237959877389869,0.00448403510058656,0.31931195263840034,0.3282800228395734
33,0.3238014229911173,0.00448403510058656,0.31931738789053077,0.32828545809170384
34,0.32380912805963563,0.00448403510058656,0.3193250929590491,0.32829316316022217
35,0.3239569192090442,0.00448403510058656,0.31947288410845764,0.3284409543096307
36,0.32543572537623405,0.00448403510058656,0.3209516902756475,0.3299197604768206
37,0.3255480407786221,0.00448403510058656,0.32106400567803556,0.33003207587920863
38,0.32613512774612474,0.00448403510058656,0.3216510926455382,0.3306191628467113
39,0.328354818859256,0.00448403510058656,0.32387078375866946,0.33283885395984253
40,0.3286053633010998,0.00448403510058656,0.32412132820051326,0.33308939840168633
41,0.3298949244312551,0.00448403510058656,0.3254108893306686,0.33437895953184166
42,0.3301341983331245,0.00448403510058656,0.325650163232538,0.33461823343371105
43,0.3302611711432462,0.004740011833458462,0.32552115930978776,0.33500118297670467
44,0.3302657104119901,0.00475766227692237,0.32550804813506773,0.33502337268891247
45,0.33037380908209063,0.004518212690691282,0.3258555963913993,0.33489202177278193
46,0.330377323567593,0.0045447516029828725,0.3258325719646101,0.3349220751705759
47,0.3304755371660995,0.0045485264604904615,0.32592701070560903,0.33502406362659
48,0.3322799189828971,0.00448403510058656,0.32779588388231057,0.33676395408348364
49,0.3324127057311285,0.006636136488929911,0.3257765692421986,0.33904884222005843
50,0.33338018852511414,0.006620131650761802,0.32676005687435233,0.34000032017587595
51,0.33457889494447357,0.008043740062000482,0.3265351548824731,0.34262263500647405
52,0.3347468197943903,0.007050095627601841,0.32769672416678847,0.34179691542199214
53,0.3348246003981556,0.007178797770880029,0.32764580262727555,0.34200339816903563
54,0.33904102737465563,0.007294201877931051,0.3317468254967246,0.3463352292525867
55,0.3522809031930328,0.007388522976355766,0.344892380216677,0.3596694261693886
56,0.3523110937014429,0.00751970042296482,0.3447913932784781,0.35983079412440777
