eval_index,mean_hv,std_hv,lower,upper
1,0.18677183343231135,0.03194794747280579,0.15482388595950555,0.21871978090511715
2,0.21983055845776872,0.03260851773126302,0.1872220407265057,0.2524390761890317
3,0.25454440917524923,0.040561930914379006,0.21398247826087022,0.2951063400896282
4,0.25912172282005336,0.039672592223287936,0.2194491305967654,0.2987943150433413
5,0.2741745470107765,0.029989419932825445,0.24418512707795104,0.3041639669436019
6,0.29155359341837245,0.027905700629756433,0.263647892788616,0.3194592940481289
7,0.2938429622352059,0.027530839651953392,0.2663121225832525,0.3213738018871593
8,0.29523791597082194,0.029033030821977248,0.2662048851488447,0.32427094679279916
9,0.2977885824124149,0.029946075757039652,0.26784250665537523,0.3277346581694546
10,0.29956615683032545,0.029777991403103637,0.26978816542722184,0.32934414823342906
11,0.30295643954072027,0.026379047087852065,0.2765773924528682,0.3293354866285723
12,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631
13,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631
14,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631
15,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631
16,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631
17,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631
18,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631
19,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631
20,0.3032887851369579,0.026368631158605188,0.2769201539783527,0.3296574162955631
21,0.3033016375254225,0.026359528460127648,0.2769421090652949,0.3296611659855501
22,0.3033016375254225,0.026359528460127648,0.2769421090652949,0.3296611659855501
23,0.30344387168315673,0.026260260541280035,0.2771836111418767,0.3297041322244368
24,0.30405110924729073,0.025867379236905935,0.27818373001038477,0.3299184884841967
25,0.30431330479231206,0.02571361946994891,0.2785996853223631,0.330026924262261
26,0.30431330479231206,0.02571361946994891,0.2785996853223631,0.330026924262261
27,0.30434237632338634,0.02569717337880558,0.2786452029445808,0.3300395497021919
28,0.30437335825708123,0.025679779863953596,0.27869357839312764,0.3300531381210348
29,0.30437335825708123,0.025679779863953596,0.27869357839312764,0.3300531381210348
30,0.3046948839543372,0.02629014939257398,0.27840473456176323,0.33098503334691115
31,0.3050426167132124,0.026293537661778218,0.2787490790514342,0.33133615437499064
32,0.31158849834910296,0.02553965958896563,0.2860488387601373,0.3371281579380686
33,0.3118882515726641,0.02555552347942964,0.28633272809323446,0.3374437750520937
34,0.312371907089882,0.025737921774396714,0.2866339853154853,0.3381098288642787
35,0.31295178444347665,0.025788372822660444,0.2871634116208162,0.3387401572661371
36,0.3175493514347652,0.024178529630967126,0.2933708218037981,0.3417278810657323
37,0.31788794208613197,0.02429087754616856,0.2935970645399634,0.3421788196323005
38,0.3184500369283854,0.023839924068931352,0.29461011285945404,0.3422899609973168
39,0.31852129645514066,0.023812429135248867,0.29470886731989177,0.34233372559038955
40,0.3185447404948434,0.023818172278726544,0.2947265682161168,0.34236291277356995
41,0.31857066787089877,0.023802704321133832,0.2947679635497649,0.3423733721920326
42,0.31919113330831717,0.02308987394558732,0.29610125936272985,0.3422810072539045
43,0.3196018747679893,0.02310824571103106,0.29649362905695825,0.34271012047902033
44,0.3225060055276138,0.02386066381613371,0.2986453417114801,0.34636666934374755
45,0.32494344202041414,0.02130658954151225,0.3036368524789019,0.3462500315619264
46,0.3252404907164118,0.02154157671897952,0.3036989139974323,0.3467820674353913
47,0.32552398692947965,0.02172716420683656,0.3037968227226431,0.3472511511363162
48,0.32589929626668085,0.021881937949318916,0.30401735831736193,0.34778123421599977
49,0.32594232038637455,0.021838208254429045,0.3041041121319455,0.3477805286408036
50,0.325957033336184,0.021824247708287607,0.30413278562789636,0.3477812810444716
51,0.3260509223689888,0.02172188963615026,0.30432903273283857,0.34777281200513904
52,0.3260531599916522,0.021721866356580112,0.30433129363507205,0.3477750263482323
53,0.32611142940281324,0.02174634318627706,0.3043650862165362,0.3478577725890903
54,0.32623987822921074,0.021956524728512932,0.3042833535006978,0.3481964029577237
55,0.3263128817367479,0.022044092585093013,0.3042687891516549,0.3483569743218409
56,0.32651977703347534,0.02203487991624898,0.30448489711722637,0.3485546569497243
