eval_index,mean_hv,std_hv,lower,upper
1,0.14292983117063554,0.03898556195704757,0.10394426921358797,0.18191539312768312
2,0.17584415663733619,0.0175256416451417,0.1583185149921945,0.19336979828247788
3,0.2060605047504916,0.009532974827502854,0.19652752992298875,0.21559347957799443
4,0.21985481740226404,0.012891466051899912,0.20696335135036412,0.23274628345416395
5,0.23094557563741525,0.023750945578433633,0.20719463005898162,0.2546965212158489
6,0.23332709010543687,0.024511127172635934,0.20881596293280094,0.2578382172780728
7,0.2391129757872946,0.02747053661969696,0.21164243916759765,0.2665835124069916
8,0.24444933636126026,0.02925938749425016,0.2151899488670101,0.2737087238555104
9,0.25124296093445553,0.025779348520277977,0.22546361241417756,0.2770223094547335
10,0.2566879082824949,0.018121905161137437,0.23856600312135745,0.2748098134436323
11,0.2568816232199993,0.01791485613458041,0.2389667670854189,0.27479647935457974
12,0.2589428940049513,0.016432323406588057,0.24251057059836323,0.27537521741153936
13,0.259598268773413,0.016128755989876408,0.24346951278353662,0.2757270247632894
14,0.26020404518321616,0.016032484073440892,0.24417156110977528,0.27623652925665704
15,0.26670729496931656,0.016791852500826685,0.24991544246848987,0.28349914747014326
16,0.2670943350599869,0.016924680122465664,0.25016965493752125,0.2840190151824526
17,0.2672745763534798,0.016861567888806044,0.25041300846467374,0.28413614424228584
18,0.2717465336421972,0.02101255380146323,0.250733979840734,0.2927590874436604
19,0.27179691204321277,0.021073658364195145,0.2507232536790176,0.29287057040740794
20,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
21,0.27775794341189797,0.02510635063812309,0.25265159277377486,0.3028642940500211
22,0.2786835134311032,0.02599546447123924,0.25268804895986396,0.30467897790234244
23,0.29747048323264885,0.025737787030054665,0.2717326962025942,0.3232082702627035
24,0.2978434604127809,0.025365338702611435,0.2724781217101695,0.32320879911539235
25,0.29857697237728925,0.025691027671661967,0.27288594470562727,0.32426800004895123
26,0.2987716184617285,0.025722743776498486,0.27304887468523004,0.324494362238227
27,0.30003935152304545,0.025084350197725824,0.27495500132531964,0.32512370172077126
28,0.30014383675673784,0.025116475864457817,0.27502736089228,0.32526031262119565
29,0.30022692026165193,0.025133781501921342,0.27509313875973057,0.3253607017635733
30,0.3003027393437532,0.025147291963835635,0.27515544737991754,0.3254500313075888
31,0.30048005232857466,0.02537240352875097,0.2751076487998237,0.32585245585732564
32,0.3006902574072653,0.025481420560162484,0.2752088368471028,0.3261716779674278
33,0.30096061757627196,0.025596294234021984,0.27536432334225,0.32655691181029395
34,0.30096574913105456,0.025596789942522388,0.27536895918853216,0.32656253907357696
35,0.30098715838255585,0.025567305835294055,0.2754198525472618,0.3265544642178499
36,0.3012727741295476,0.02589258040695282,0.2753801937225948,0.3271653545365004
37,0.3015260759276795,0.026037338872320268,0.2754887370553592,0.3275634147999998
38,0.30651500344517535,0.02501299454418137,0.28150200890099397,0.3315279979893567
39,0.30670475259739927,0.025081542491075366,0.2816232101063239,0.3317862950884746
40,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045
41,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045
42,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045
43,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045
44,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045
45,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045
46,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045
47,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045
48,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045
49,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045
50,0.3068038191953277,0.025135551360776814,0.28166826783455085,0.3319393705561045
51,0.3070552370201037,0.025018485164762263,0.28203675185534144,0.3320737221848659
52,0.3074178769608391,0.025458193540117295,0.2819596834207218,0.3328760705009564
53,0.3074650684879533,0.02550090502161388,0.2819641634663394,0.3329659735095672
54,0.3074672786463084,0.025501795002283653,0.28196548364402474,0.3329690736485921
55,0.30757849045435004,0.025641222019707494,0.28193726843464256,0.3332197124740575
56,0.30846575630037015,0.02672665631231668,0.28173909998805347,0.33519241261268684
