eval_index,mean_hv,std_hv,lower,upper
1,0.14292983117063554,0.03898556195704757,0.10394426921358797,0.18191539312768312
2,0.17584415663733619,0.0175256416451417,0.1583185149921945,0.19336979828247788
3,0.2060605047504916,0.009532974827502854,0.19652752992298875,0.21559347957799443
4,0.21985481740226404,0.012891466051899912,0.20696335135036412,0.23274628345416395
5,0.23094557563741525,0.023750945578433633,0.20719463005898162,0.2546965212158489
6,0.23332709010543687,0.024511127172635934,0.20881596293280094,0.2578382172780728
7,0.2391129757872946,0.02747053661969696,0.21164243916759765,0.2665835124069916
8,0.24444933636126026,0.02925938749425016,0.2151899488670101,0.2737087238555104
9,0.25124296093445553,0.025779348520277977,0.22546361241417756,0.2770223094547335
10,0.2566879082824949,0.018121905161137437,0.23856600312135745,0.2748098134436323
11,0.2568816232199993,0.01791485613458041,0.2389667670854189,0.27479647935457974
12,0.2589428940049513,0.016432323406588057,0.24251057059836323,0.27537521741153936
13,0.259598268773413,0.016128755989876408,0.24346951278353662,0.2757270247632894
14,0.26020404518321616,0.016032484073440892,0.24417156110977528,0.27623652925665704
15,0.26670729496931656,0.016791852500826685,0.24991544246848987,0.28349914747014326
16,0.2670943350599869,0.016924680122465664,0.25016965493752125,0.2840190151824526
17,0.2672745763534798,0.016861567888806044,0.25041300846467374,0.28413614424228584
18,0.2717465336421972,0.02101255380146323,0.250733979840734,0.2927590874436604
19,0.27179691204321277,0.021073658364195145,0.2507232536790176,0.29287057040740794
20,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
21,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
22,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
23,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
24,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
25,0.2770641672210026,0.024557989265356055,0.2525061779556465,0.30162215648635865
26,0.2831097051446562,0.02295043515729706,0.26015926998735917,0.3060601403019533
27,0.28743098176926785,0.023747891352397174,0.26368309041687066,0.31117887312166503
28,0.2875109398779265,0.02379678294285324,0.2637141569350732,0.31130772282077973
29,0.2877146656759924,0.02397034910388034,0.26374431657211206,0.31168501477987276
30,0.2878811197534039,0.02389738744707848,0.26398373230632544,0.3117785072004824
31,0.2880772938752928,0.024041588111812767,0.26403570576348,0.3121188819871056
32,0.2880902480541596,0.02402636126820399,0.2640638867859556,0.3121166093223636
33,0.28829819570081766,0.024104193168058133,0.26419400253275954,0.3124023888688758
34,0.2895237158404048,0.02463653990740245,0.2648871759330024,0.31416025574780726
35,0.2896110912346856,0.0247219186684413,0.2648891725662443,0.3143330099031269
36,0.28991544101775735,0.024847393950890116,0.2650680470668672,0.3147628349686475
37,0.28998307514513133,0.024880608155498685,0.26510246698963263,0.31486368330063
38,0.29035049175212635,0.024754885190474783,0.26559560656165154,0.31510537694260116
39,0.2905519869149715,0.02476801764920977,0.26578396926576175,0.3153200045641813
40,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
41,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
42,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
43,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
44,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
45,0.2905551911323499,0.024769406596841594,0.26578578453550833,0.31532459772919147
46,0.29084051883934103,0.024618466447883524,0.2662220523914575,0.31545898528722455
47,0.29093255184483935,0.02461343920033294,0.2663191126445064,0.3155459910451723
48,0.29105434417234244,0.024576812253634478,0.26647753191870793,0.31563115642597694
49,0.29107818760742193,0.024567429288245422,0.26651075831917653,0.31564561689566734
50,0.29128690547023905,0.024641925816044886,0.26664497965419415,0.31592883128628396
51,0.29402784923655084,0.019605190152482233,0.2744226590840686,0.3136330393890331
52,0.2940679596632987,0.01954457130110694,0.27452338836219176,0.3136125309644056
53,0.2940681382469975,0.019544657967220578,0.2745234802797769,0.3136127962142181
54,0.29408127254574756,0.01955049664678275,0.2745307758989648,0.31363176919253033
55,0.2940899416156032,0.019538115939763536,0.2745518256758397,0.3136280575553667
56,0.29410674148779614,0.019543442927426158,0.27456329856037,0.3136501844152223
