eval_index,hv,plot_band,lower,upper
1,0.17682514530040797,0.005097911562734345,0.17172723373767362,0.1819230568631423
2,0.17770525924100095,0.0061284579711919016,0.17157680126980904,0.18383371721219285
3,0.1921974159124473,0.009134296824096033,0.18306311908835127,0.20133171273654332
4,0.19294651636840404,0.00955990220247366,0.18338661416593038,0.2025064185708777
5,0.21225698754292277,0.010068775550781346,0.20218821199214143,0.2223257630937041
6,0.22622665470554748,0.010068775550781346,0.21615787915476614,0.23629543025632882
7,0.26344098216474604,0.010068775550781346,0.2533722066139647,0.2735097577155274
8,0.26400015159416995,0.010068775550781346,0.2539313760433886,0.2740689271449513
9,0.3133406512792755,0.010068775550781346,0.3032718757284942,0.32340942683005686
10,0.32341835011871595,0.010068775550781346,0.3133495745679346,0.3334871256694973
11,0.32342696390607323,0.010068775550781346,0.3133581883552919,0.33349573945685457
12,0.32342696390607323,0.010068775550781346,0.3133581883552919,0.33349573945685457
13,0.32342696390607323,0.010068775550781346,0.3133581883552919,0.33349573945685457
14,0.325527510992196,0.010068775550781346,0.3154587354414147,0.33559628654297735
15,0.32684914577688506,0.010068775550781346,0.3167803702261037,0.3369179213276664
16,0.32690705545448456,0.010068775550781346,0.3168382799037032,0.3369758310052659
17,0.32692086559501027,0.009898185013442326,0.31702268058156796,0.3368190506084526
18,0.3338580686842498,0.010035084770135356,0.3238229839141144,0.34389315345438515
19,0.35006370876402565,0.010048740247084648,0.340014968516941,0.3601124490111103
20,0.35006370876402565,0.006695841443030939,0.3433678673209947,0.3567595502070566
21,0.35006370876402565,0.006506560710343841,0.3435571480536818,0.3565702694743695
22,0.35008568091884307,0.006667648758773654,0.3434180321600694,0.35675332967761675
23,0.35009010921646183,0.00339184452153495,0.34669826469492687,0.3534819537379968
24,0.35009469937827453,0.0026535507198119914,0.34744114865846254,0.3527482500980865
25,0.35070847412969874,0.0026922094186368237,0.3480162647110619,0.3534006835483356
26,0.3507108577937088,0.0025380679491156855,0.3481727898445931,0.3532489257428245
27,0.3507108577937088,0.0024163292896086193,0.3482945285041002,0.3531271870833174
28,0.3507257805578844,0.0022243695182682264,0.3485014110396162,0.3529501500761526
29,0.37420323508197934,0.0024314856296009575,0.3717717494523784,0.3766347207115803
30,0.37425865072614156,0.0026836614714951454,0.37157498925464644,0.3769423121976367
31,0.3758247942861073,0.0023786578824131583,0.3734461364036942,0.37820345216852047
32,0.3758247942861073,0.0026478722204139483,0.37317692206569336,0.3784726665065213
33,0.3777344870566522,0.0025203335739616716,0.3752141534826905,0.3802548206306139
34,0.37775846385927764,0.002087792142394885,0.37567067171688273,0.37984625600167254
35,0.3779686729139592,0.002085462607283001,0.3758832103066762,0.3800541355212422
36,0.3779686729139592,0.0019255972659348731,0.3760430756480243,0.3798942701798941
37,0.3779686729139592,0.0019458287552449518,0.37602284415871423,0.37991450166920415
38,0.37798793160154764,0.0017364945782497134,0.37625143702329794,0.37972442617979735
39,0.37798793160154764,0.0014974454109252986,0.37649048619062236,0.3794853770124729
40,0.37799083947097123,0.0016219864073909536,0.37636885306358026,0.3796128258783622
41,0.37799083947097123,0.0012202664010990017,0.3767705730698722,0.37921110587207024
42,0.37808161113915273,0.0012202664010990017,0.3768613447380537,0.37930187754025174
43,0.37808532183935883,0.0012202664010990017,0.3768650554382598,0.37930558824045785
44,0.37808532183935883,0.0012202664010990017,0.3768650554382598,0.37930558824045785
45,0.37808532183935883,0.001266702286718859,0.37681861955263996,0.3793520241260777
46,0.37808532183935883,0.0012464446869840558,0.3768388771523748,0.3793317665263429
47,0.378177900702542,0.0012472090202703386,0.37693069168227167,0.3794251097228123
48,0.378177900702542,0.001250523465924908,0.37692737723661707,0.3794284241684669
49,0.3782234568848038,0.0012202664010990017,0.3770031904837048,0.3794437232859028
50,0.3782235854965766,0.0012202664010990017,0.3770033190954776,0.3794438518976756
51,0.3782235854965766,0.0012202664010990017,0.3770033190954776,0.3794438518976756
52,0.3782235854965766,0.0012202664010990017,0.3770033190954776,0.3794438518976756
53,0.3782235854965766,0.0012202664010990017,0.3770033190954776,0.3794438518976756
54,0.37822592116031545,0.0012202664010990017,0.37700565475921644,0.37944618756141446
55,0.3783058446254424,0.0012202664010990017,0.3770855782243434,0.37952611102654144
56,0.38482555920297173,0.0012202664010990017,0.3836052928018727,0.38604582560407075
