eval_index,canonical_hv,display_hv,pareto_size
1,1.119773351508191,2.7994333787704773,1
2,1.119773351508191,2.7994333787704773,2
3,1.119773351508191,2.7994333787704773,2
4,1.1199331601600495,2.7998329004001237,3
5,1.235669971060661,3.0891749276516522,4
6,1.243013932165133,3.1075348304128325,5
7,1.2486124734775628,3.121531183693907,5
8,1.2503288434559499,3.1258221086398743,6
9,1.2503288434559499,3.1258221086398743,6
10,1.2609862136280108,3.1524655340700267,7
11,1.2611322995836336,3.152830748959084,8
12,1.261267333496572,3.15316833374143,8
13,1.294999556562152,3.2374988914053797,7
14,1.5142322326869226,3.7855805817173063,8
15,1.5148761753963853,3.787190438490963,9
16,1.5148761753963853,3.787190438490963,9
17,1.5161083144859755,3.7902707862149385,10
18,1.8309988706510956,4.577497176627738,10
19,1.8328916556497286,4.582229139124321,11
20,1.8329158874499867,4.582289718624966,12
21,1.8388147557967045,4.597036889491761,13
22,1.8388147557967045,4.597036889491761,13
23,1.8459708119340497,4.6149270298351235,14
24,1.8468315119052658,4.6170787797631645,15
25,1.8468363926044509,4.617090981511127,16
26,1.8492670952805783,4.623167738201445,15
27,1.8493003333033,4.62325083325825,16
28,1.8493003333033,4.62325083325825,16
29,1.8493125651792124,4.623281412948031,17
30,1.8493134870070194,4.623283717517548,18
31,1.8493148233195384,4.623287058298846,19
32,1.850543018565049,4.626357546412622,20
33,1.853066069406627,4.632665173516568,19
34,1.853066069406627,4.632665173516568,19
35,1.8530667226941482,4.6326668067353705,20
36,1.8533738256229872,4.633434564057468,21
37,1.85357068084661,4.633926702116525,22
38,1.85357068084661,4.633926702116525,22
39,1.85357068084661,4.633926702116525,22
40,1.8561125475469367,4.640281368867341,22
41,1.8561136057308283,4.6402840143270705,23
42,1.8627851465276646,4.656962866319161,19
43,1.8627851465276646,4.656962866319161,19
44,1.8659717213467983,4.664929303366995,19
45,1.8659782006732712,4.664945501683178,20
46,1.866392809089097,4.665982022722742,21
47,1.866392809089097,4.665982022722742,21
48,1.8671132508481767,4.667783127120441,21
49,1.8671132508481767,4.667783127120441,21
50,1.8671135930289193,4.667783982572298,22
51,1.8671136215287127,4.667784053821782,23
52,1.8671136215287127,4.667784053821782,23
53,1.8688144287972297,4.672036071993074,24
54,1.8693133946532459,4.673283486633115,25
55,1.8697755276293448,4.6744388190733615,26
56,1.869784086941467,4.674460217353667,27
