eval_index,canonical_hv,display_hv,pareto_size
1,1.119773351508191,2.7994333787704773,1
2,1.119773351508191,2.7994333787704773,2
3,1.119773351508191,2.7994333787704773,2
4,1.1331862089341433,2.8329655223353583,3
5,1.133201098496248,2.8330027462406195,4
6,1.133201098496248,2.8330027462406195,4
7,1.133201098496248,2.8330027462406195,4
8,1.1398276892050132,2.8495692230125327,4
9,1.144373382795064,2.86093345698766,5
10,1.1443737367249989,2.860934341812497,6
11,1.1448931400229556,2.862232850057389,7
12,1.1450098233300567,2.8625245583251417,8
13,1.1468898311672064,2.867224577918016,9
14,1.1470407571729668,2.867601892932417,10
15,1.1502174445563935,2.8755436113909836,11
16,1.1502174445563935,2.8755436113909836,11
17,1.1502575740705543,2.8756439351763854,12
18,1.1510106172577614,2.8775265431444033,13
19,1.1515220593118172,2.8788051482795427,13
20,1.3646428769086874,3.411607192271718,12
21,1.367004447795958,3.4175111194898946,13
22,1.3679790679821153,3.419947669955288,14
23,1.8366197720136639,4.591549430034159,15
24,1.8369148545273613,4.592287136318403,16
25,1.8378147748695435,4.594536937173858,17
26,1.8378656324210398,4.594664081052599,18
27,1.8396246013238133,4.5990615033095334,19
28,1.8396246013238133,4.5990615033095334,19
29,1.8409224280947638,4.602306070236909,20
30,1.8417937331967915,4.604484332991978,21
31,1.8417937339869286,4.604484334967321,22
32,1.8417950779461547,4.604487694865386,23
33,1.8417950791886593,4.604487697971648,24
34,1.841963622939724,4.604909057349309,24
35,1.8462480993185613,4.615620248296403,22
36,1.846750384965147,4.616875962412867,23
37,1.8471704467440113,4.617926116860028,24
38,1.8506905290340794,4.626726322585198,24
39,1.857723506696991,4.644308766742477,23
40,1.8577235517467194,4.644308879366799,24
41,1.861514990199762,4.653787475499405,22
42,1.8650415846220496,4.662603961555123,23
43,1.8650415846220496,4.662603961555123,23
44,1.865685332954523,4.664213332386307,23
45,1.8665835468143417,4.666458867035854,24
46,1.866886217471908,4.66721554367977,25
47,1.866886217471908,4.66721554367977,25
48,1.866886217471908,4.66721554367977,25
49,1.866886217471908,4.66721554367977,25
50,1.866886217471908,4.66721554367977,25
51,1.866886217471908,4.66721554367977,25
52,1.86762907221765,4.669072680544125,26
53,1.8681126464852709,4.670281616213177,27
54,1.8698429732724777,4.674607433181194,28
55,1.8698446903854125,4.674611725963531,29
56,1.8698469885903224,4.6746174714758055,29
