collection,experiment_family,variant_group,report_dir,report_path,group_name,structured_report,run_count,mean_hv,std_hv,mean_hv_raw,std_hv_raw,mean_init_hv,std_init_hv,mean_pareto_size,std_pareto_size,mean_hv_violations,rerank_applied_count,rerank_active_count,group_payload
optimized_experiments,multiseed_warm6,,optimized_experiments/multiseed_warm6,optimized_experiments/multiseed_warm6/report.json,baseline_strict,False,3,0.33792270043798117,0.016770282398946845,,,,,,,,,,"{""max_hv"": 0.3601655209546283, ""mean_hv"": 0.33792270043798117, ""min_hv"": 0.3196734392266139, ""runs"": [{""hv_violations"": 0, ""hypervolume"": 0.3601655209546283, ""n_feasible"": 16, ""seed"": 0, ""warmstart_hv_last"": 0.25695321501410096}, {""hv_violations"": 0, ""hypervolume"": 0.3196734392266139, ""n_feasible"": 16, ""seed"": 1, ""warmstart_hv_last"": 0.2427666463387249}, {""hv_violations"": 0, ""hypervolume"": 0.33392914113270133, ""n_feasible"": 16, ""seed"": 2, ""warmstart_hv_last"": 0.24694079218304285}], ""std_hv"": 0.016770282398946845}"
optimized_experiments,multiseed_warm6,,optimized_experiments/multiseed_warm6,optimized_experiments/multiseed_warm6/report.json,warm6_only_safe65_temp0,False,3,0.3144617952834283,0.03409456652380618,,,,,,,,,,"{""max_hv"": 0.355863177274375, ""mean_hv"": 0.3144617952834283, ""min_hv"": 0.27235775462956846, ""runs"": [{""hv_violations"": 0, ""hypervolume"": 0.355863177274375, ""n_feasible"": 16, ""seed"": 0, ""warmstart_hv_last"": 0.23684213995639175}, {""hv_violations"": 0, ""hypervolume"": 0.31516445394634146, ""n_feasible"": 16, ""seed"": 1, ""warmstart_hv_last"": 0.23684213995639175}, {""hv_violations"": 0, ""hypervolume"": 0.27235775462956846, ""n_feasible"": 16, ""seed"": 2, ""warmstart_hv_last"": 0.23684213995639175}], ""std_hv"": 0.03409456652380618}"
optimized_experiments,optimized_experiments,,optimized_experiments,optimized_experiments/report.json,baseline_strict,False,0,,,,,,,,,,,,"{""config"": {""enable_gp_llm_coupling"": false, ""enable_iterative_guidance"": false, ""guidance_point_local_scale"": 0.55, ""lambda_decay_rate"": null, ""lambda_max"": null, ""llm_safe_dsoc_sum_max"": null}, ""hv_violations"": 0, ""hypervolume"": 0.3601655209546283, ""hypervolume_raw"": 10.5978884277628, ""last_guidance_note"": null, ""last_lambda"": null, ""n_feasible"": 16, ""n_total"": 16, ""pareto_size"": 13, ""warmstart_hv_last"": 0.25695321501410096}"
optimized_experiments,optimized_experiments,,optimized_experiments,optimized_experiments/report.json,fullcoupled_safe64_ultralight,False,0,,,,,,,,,,,,"{""config"": {""enable_gp_llm_coupling"": true, ""enable_iterative_guidance"": true, ""guidance_point_local_scale"": 0.45, ""lambda_decay_rate"": 0.5, ""lambda_max"": 0.2, ""llm_safe_dsoc_sum_max"": 0.64}, ""hv_violations"": 0, ""hypervolume"": 0.35381019681329273, ""hypervolume_raw"": 10.410882697748388, ""last_guidance_note"": """", ""last_lambda"": 0.2, ""n_feasible"": 16, ""n_total"": 16, ""pareto_size"": 11, ""warmstart_hv_last"": 0.2831337877647363}"
optimized_experiments,optimized_experiments,,optimized_experiments,optimized_experiments/report.json,fullcoupled_safe65_light,False,0,,,,,,,,,,,,"{""config"": {""enable_gp_llm_coupling"": true, ""enable_iterative_guidance"": true, ""guidance_point_local_scale"": 0.55, ""lambda_decay_rate"": 0.55, ""lambda_max"": 0.35, ""llm_safe_dsoc_sum_max"": 0.65}, ""hv_violations"": 0, ""hypervolume"": 0.33156151188958616, ""hypervolume_raw"": 9.756214033571636, ""last_guidance_note"": """", ""last_lambda"": 0.20107438420933488, ""n_feasible"": 16, ""n_total"": 16, ""pareto_size"": 11, ""warmstart_hv_last"": 0.28883043375426926}"
optimized_experiments,optimized_experiments,,optimized_experiments,optimized_experiments/report.json,guidance_no_coupling_safe65,False,0,,,,,,,,,,,,"{""config"": {""enable_gp_llm_coupling"": false, ""enable_iterative_guidance"": true, ""guidance_point_local_scale"": 0.55, ""lambda_decay_rate"": null, ""lambda_max"": null, ""llm_safe_dsoc_sum_max"": 0.65}, ""hv_violations"": 0, ""hypervolume"": 0.3417217549659154, ""hypervolume_raw"": 10.055179693128624, ""last_guidance_note"": """", ""last_lambda"": null, ""n_feasible"": 16, ""n_total"": 16, ""pareto_size"": 12, ""warmstart_hv_last"": 0.30014542281766826}"
optimized_experiments,optimized_experiments,,optimized_experiments,optimized_experiments/report.json,warmstart_only_safe64,False,0,,,,,,,,,,,,"{""config"": {""enable_gp_llm_coupling"": false, ""enable_iterative_guidance"": false, ""guidance_point_local_scale"": 0.55, ""lambda_decay_rate"": null, ""lambda_max"": null, ""llm_safe_dsoc_sum_max"": 0.64}, ""hv_violations"": 0, ""hypervolume"": 0.3183358489139041, ""hypervolume_raw"": 9.367048240499708, ""last_guidance_note"": null, ""last_lambda"": null, ""n_feasible"": 16, ""n_total"": 16, ""pareto_size"": 9, ""warmstart_hv_last"": 0.27961642305013784}"
optimized_experiments,optimized_experiments,,optimized_experiments,optimized_experiments/report.json,warmstart_only_safe65,False,0,,,,,,,,,,,,"{""config"": {""enable_gp_llm_coupling"": false, ""enable_iterative_guidance"": false, ""guidance_point_local_scale"": 0.55, ""lambda_decay_rate"": null, ""lambda_max"": null, ""llm_safe_dsoc_sum_max"": 0.65}, ""hv_violations"": 0, ""hypervolume"": 0.3724885239962909, ""hypervolume_raw"": 10.960493407229933, ""last_guidance_note"": null, ""last_lambda"": null, ""n_feasible"": 16, ""n_total"": 16, ""pareto_size"": 11, ""warmstart_hv_last"": 0.2844953314163697}"
optimized_experiments,ordinary_ei_comparison,,optimized_experiments/ordinary_ei_comparison,optimized_experiments/ordinary_ei_comparison/report.json,baseline_ei,False,3,0.33792270043798117,0.016770282398946845,,,0.24888688451195623,,,,,,,"{""max_hv"": 0.3601655209546283, ""mean_hv"": 0.33792270043798117, ""mean_init_hv"": 0.24888688451195623, ""min_hv"": 0.3196734392266139, ""runs"": [{""hv_violations"": 0, ""hypervolume"": 0.3601655209546283, ""n_feasible"": 16, ""seed"": 0, ""warmstart_hv_last"": 0.25695321501410096}, {""hv_violations"": 0, ""hypervolume"": 0.3196734392266139, ""n_feasible"": 16, ""seed"": 1, ""warmstart_hv_last"": 0.2427666463387249}, {""hv_violations"": 0, ""hypervolume"": 0.33392914113270133, ""n_feasible"": 16, ""seed"": 2, ""warmstart_hv_last"": 0.24694079218304285}], ""std_hv"": 0.016770282398946845}"
optimized_experiments,ordinary_ei_comparison,,optimized_experiments/ordinary_ei_comparison,optimized_experiments/ordinary_ei_comparison/report.json,warmstart_ei_fair,False,3,0.3515678275194051,0.010044401642667554,,,0.29580098999615045,,,,,,,"{""max_hv"": 0.3643065454389445, ""mean_hv"": 0.3515678275194051, ""mean_init_hv"": 0.29580098999615045, ""min_hv"": 0.3397552336883811, ""runs"": [{""hv_violations"": 0, ""hypervolume"": 0.3506417034308896, ""n_feasible"": 16, ""seed"": 0, ""warmstart_hv_last"": 0.2815889170890845}, {""hv_violations"": 0, ""hypervolume"": 0.3397552336883811, ""n_feasible"": 16, ""seed"": 1, ""warmstart_hv_last"": 0.31151124543642633}, {""hv_violations"": 0, ""hypervolume"": 0.3643065454389445, ""n_feasible"": 16, ""seed"": 2, ""warmstart_hv_last"": 0.2943028074629405}], ""std_hv"": 0.010044401642667554}"
