collection,experiment_family,variant_group,report_dir,report_path,comparison_name,mean_delta,mean_pct,wins,total,comparison_payload
optimized_experiments,llmei_vs_plain_v1,,optimized_experiments/llmei_vs_plain_v1,optimized_experiments/llmei_vs_plain_v1/report.json,warmstart_llmei_const.comparison_vs_plain,0.018630195330501365,2.116323804545038,,,"{""abs_diff"": 0.018630195330501365, ""rel_diff_pct"": 2.116323804545038}"
optimized_experiments,llmei_vs_plain_v1,,optimized_experiments/llmei_vs_plain_v1,optimized_experiments/llmei_vs_plain_v1/report.json,warmstart_llmei_online.comparison_vs_baseline,0.021123586165290753,2.459030456290508,,,"{""abs_diff"": 0.021123586165290753, ""rel_diff_pct"": 2.459030456290508}"
optimized_experiments,llmei_vs_plain_v1,,optimized_experiments/llmei_vs_plain_v1,optimized_experiments/llmei_vs_plain_v1/report.json,warmstart_llmei_online.comparison_vs_plain,-0.00016479197495744558,-0.018719781151701236,,,"{""abs_diff"": -0.00016479197495744558, ""rel_diff_pct"": -0.018719781151701236}"
optimized_experiments,multiseed,,optimized_experiments/multiseed,optimized_experiments/multiseed/report.json,comparison,-0.0024849075310540703,,0,3,"{""mean_delta"": -0.0024849075310540703, ""total"": 3, ""wins"": 0}"
optimized_experiments,multiseed_safe695,,optimized_experiments/multiseed_safe695,optimized_experiments/multiseed_safe695/report.json,comparison,0.01524641105412644,,2,3,"{""mean_delta"": 0.01524641105412644, ""total"": 3, ""wins"": 2}"
optimized_experiments,multiseed_warm6,,optimized_experiments/multiseed_warm6,optimized_experiments/multiseed_warm6/report.json,comparison,-0.023460905154552847,,0,3,"{""mean_delta"": -0.023460905154552847, ""total"": 3, ""wins"": 0}"
optimized_experiments,ordinary_ei_comparison,,optimized_experiments/ordinary_ei_comparison,optimized_experiments/ordinary_ei_comparison/report.json,comparison_vs_warmstart_ei_fair,0.013645127081423902,4.037943311810199,2,3,"{""init_delta"": 0.046914105484194224, ""init_pct"": 18.849569183281133, ""mean_delta"": 0.013645127081423902, ""mean_pct"": 4.037943311810199, ""total"": 3, ""wins"": 2}"
optimized_experiments,ordinary_ei_comparison,,optimized_experiments/ordinary_ei_comparison,optimized_experiments/ordinary_ei_comparison/report.json,comparison_vs_warmstart_ei_focused,0.011911958995363348,3.5250543925946065,2,3,"{""init_delta"": 0.03481464696013015, ""init_pct"": 13.988140447174779, ""mean_delta"": 0.011911958995363348, ""mean_pct"": 3.5250543925946065, ""total"": 3, ""wins"": 2}"
optimized_experiments,proposal_batch_v1,,optimized_experiments/proposal_batch_v1,optimized_experiments/proposal_batch_v1/report.json,comparison_vs_warmstart_guided_ei,0.002497384763601229,0.7390402480698555,0,3,"{""total"": 3, ""vs_baseline_mean_delta"": 0.002497384763601229, ""vs_baseline_mean_pct"": 0.7390402480698555, ""vs_plain_mean_delta"": -0.01590357862666275, ""vs_plain_mean_pct"": -4.463239532227248, ""wins_vs_plain"": 0}"
optimized_experiments,proposal_batch_v1,,optimized_experiments/proposal_batch_v1,optimized_experiments/proposal_batch_v1/report.json,comparison_vs_warmstart_proposal_ei,-0.0015161131992333376,-0.44865680739065716,0,3,"{""total"": 3, ""vs_baseline_mean_delta"": -0.0015161131992333376, ""vs_baseline_mean_pct"": -0.44865680739065716, ""vs_plain_mean_delta"": -0.019917076589497318, ""vs_plain_mean_pct"": -5.589602547165584, ""wins_vs_plain"": 0}"
optimized_experiments,proposal_batch_v1,,optimized_experiments/proposal_batch_v1,optimized_experiments/proposal_batch_v1/report.json,comparison_vs_warmstart_proposal_guided_ei,0.004906189442295872,1.4518673755675282,0,3,"{""total"": 3, ""vs_baseline_mean_delta"": 0.004906189442295872, ""vs_baseline_mean_pct"": 1.4518673755675282, ""vs_plain_mean_delta"": -0.013494773947968108, ""vs_plain_mean_pct"": -3.7872236165804707, ""wins_vs_plain"": 0}"
optimized_experiments,warmstart_prompt_v2_10iter,,optimized_experiments/warmstart_prompt_v2_10iter,optimized_experiments/warmstart_prompt_v2_10iter/report.json,comparison_vs_baseline_warmstart_prompt_v2,-0.04463971803413854,-5.222410806726383,2,3,"{""mean_delta"": -0.04463971803413854, ""mean_pct"": -5.222410806726383, ""total"": 3, ""wins"": 2}"
optimized_experiments,warmstart_prompt_v2_llmei_seed1_10iter,,optimized_experiments/warmstart_prompt_v2_llmei_seed1_10iter,optimized_experiments/warmstart_prompt_v2_llmei_seed1_10iter/report.json,comparison_vs_plain,,,,,"{""llmei_const_abs_diff"": 0.008888844703925702, ""llmei_online_abs_diff"": -0.19116030918829396}"
optimized_experiments,weight_aware_coupling_v1,,optimized_experiments/weight_aware_coupling_v1,optimized_experiments/weight_aware_coupling_v1/report.json,comparison_vs_plain_warmstart_weight_aware_gated_coupling,,,1,5,"{""init_delta_vs_plain"": 0.00048140932006546233, ""mean_delta_vs_plain"": -0.003213297155932626, ""mean_pct_vs_plain"": -0.8792279848974891, ""total"": 5, ""wins_vs_plain"": 1}"
