eval_index,hv
1,0.13102796311478254
2,0.18637565308741186
3,0.19266790132415867
4,0.19266790132415867
5,0.20539974628922567
6,0.20905033603686715
7,0.2197483308064135
8,0.2200114113948091
9,0.22011476450898113
10,0.22103120832963405
11,0.2213488745180893
12,0.22134932720699904
13,0.22135024418626253
14,0.26455252569005894
15,0.26823853829507005
16,0.26823853829507005
17,0.2683825070149803
18,0.2687676970795793
19,0.27526231115772765
20,0.275935352617175
21,0.2759909887191163
22,0.2805721936448188
23,0.2808279220984092
24,0.2808743937554962
25,0.28733414740129315
26,0.28738373289889524
27,0.28789751137388647
28,0.2879113110895928
29,0.2913512580553864
30,0.29180200289680025
31,0.2918264279958809
32,0.2920213158870951
33,0.3106165174265889
34,0.3106169353373186
35,0.3106304845101564
36,0.3106428744642184
37,0.31064617150793167
38,0.3110743501820413
39,0.31111010421154595
40,0.3176158537974637
41,0.3176574623271607
42,0.3176574631439385
43,0.31817812292429
44,0.32155056761533735
45,0.32191100022894614
46,0.3219242854299166
47,0.32199667086062017
48,0.3224040235606814
49,0.32244554384406987
50,0.3236722415864936
51,0.3236725682031716
52,0.3237279085506783
53,0.3793003954668605
54,0.3796843102258107
55,0.3802649763150161
56,0.3803117762337845
