eval_index,hv
1,0.17224010109992308
2,0.1731278681211305
3,0.19046875914366998
4,0.202053025098903
5,0.20455255788366933
6,0.22527469130616914
7,0.2651988844234648
8,0.27419143865926565
9,0.2776858840744332
10,0.28699441388200825
11,0.28699441388200825
12,0.28780424581379244
13,0.28780424581379244
14,0.287856866166027
15,0.352703416008651
16,0.35270672610641063
17,0.35280361595072374
18,0.35280380966720776
19,0.3711243589732821
20,0.37661965626997584
21,0.3768221844660231
22,0.3771234807305428
23,0.37736261248980696
24,0.37736261248980696
25,0.3773670858375145
26,0.37745055449345927
27,0.3801945933237092
28,0.3801945933237092
29,0.3801945933237092
30,0.3801945933237092
31,0.3801961041796354
32,0.3801961041796354
33,0.3801961041796354
34,0.3805611436273761
35,0.3806399264706761
36,0.3806950768956598
37,0.3807881699828617
38,0.3807881699828617
39,0.3807881699828617
40,0.38081404122800927
41,0.3809488557474013
42,0.3809559285897605
43,0.3809559285897605
44,0.3809559411318211
45,0.3809848742848417
46,0.38103131502205523
47,0.38103131502205523
48,0.3811264265346318
49,0.3811264265346318
50,0.3811367357175222
51,0.3811367357175222
52,0.3811367357175222
53,0.3811367357175222
54,0.3813113213670817
55,0.3813113213670817
56,0.3813113213670817
