evaluation,parego_mean_nhv,parego_population_std,llmbo_mo_mean_nhv,llmbo_mo_population_std
1,0.11923057524305096,0.0239915255312849,0.1855050756641307,0.0
2,0.1853952877335424,0.02769179318860226,0.1855050756641307,0.0
3,0.22885626404045495,0.025652100849034375,0.1855050756641307,0.0
4,0.24171492603599815,0.021675546188507235,0.2006673945105716,0.020157913919350415
5,0.2472195386169569,0.01914631783961933,0.22187303527649754,0.012610926197025326
6,0.2605928489991712,0.019585735662684976,0.23713894388614992,0.011800337906512642
7,0.27125584175506867,0.023069901439130278,0.24668223245405083,0.007286991986629894
8,0.2764565739103168,0.02858999863528325,0.2698638238019934,0.0070841631086301544
9,0.2854076614831582,0.03467670554279955,0.29652523162111805,0.022631691146592796
10,0.31069526049942187,0.04612133399809483,0.3192288999183563,0.034866479943528685
11,0.3172231703569743,0.042710706219020636,0.32421415604720866,0.03719268022196517
12,0.3305729779788288,0.040680338672045145,0.32440753861428895,0.03703392894383985
13,0.3331443245909811,0.0413422112612179,0.33167002043378,0.03705154867996207
14,0.3615077282965621,0.030116990747986117,0.34131412694346847,0.03602119407301335
15,0.37222758221482327,0.04132925054996958,0.3557121025995432,0.052115807191102974
16,0.3807726243305315,0.052645677156122485,0.35820289175938447,0.051004326154269405
17,0.3903053161963596,0.047568007856936274,0.3855524410265955,0.054934695828768317
18,0.40216640256914193,0.04552990836613199,0.41572442772307017,0.06606211531630224
19,0.40831347570128224,0.04179459032705693,0.42271787439478353,0.07242019818261645
20,0.4176336021563779,0.041058499384113774,0.4331595484976531,0.06345074070457098
21,0.4253761085065528,0.0478372958825841,0.44286490977451054,0.06251398616538081
22,0.4286620953541972,0.049045620957625234,0.44681209815628975,0.06623034758895231
23,0.4467618102230383,0.053761601964150516,0.4745393880898103,0.04994918924597767
24,0.45014996651966815,0.05431267354572179,0.47637556388599567,0.05046957131424283
25,0.4565204977222995,0.05696249484519994,0.4775832947393681,0.04951360760500452
26,0.4642013478182558,0.06176957279658358,0.47978375860474004,0.04952724005469672
27,0.46830838288868215,0.0630468556414072,0.4896682330063379,0.042272341386565666
28,0.4752865435690851,0.06789485184202178,0.4897086585950305,0.04224822317066316
29,0.48489248865414636,0.0669211793515398,0.5062923919034381,0.03684403477391138
30,0.4869588680133283,0.06634382473690557,0.5069889555792302,0.036021366857184135
31,0.4985070912791577,0.04739614333199156,0.5069989997173135,0.0360163599857393
32,0.49879626502768293,0.047369705286055816,0.5079657416176036,0.03572512965815914
33,0.5033489925262057,0.04397765251323385,0.5123152265872613,0.034804315387731946
34,0.5036291387937022,0.044135995588924254,0.5126755618521976,0.035031317497920086
35,0.5074041384196903,0.04684285519859583,0.5179599363743457,0.030155797633559515
36,0.5077035572749029,0.04705590679691316,0.5221761395417654,0.029367291120069108
37,0.509240566825022,0.04645574762647141,0.5226186748084554,0.028895419199414216
38,0.517999107015695,0.043595249898071,0.5255300926195731,0.026089559860359702
39,0.5307327040648971,0.024286491938725036,0.5315104203634545,0.022288299541696355
40,0.5318861689621535,0.023435191324557805,0.5336667590663575,0.021063892852803114
41,0.5330896917827116,0.02436170365612155,0.53743377413374,0.020457787885776388
42,0.5358074676253147,0.024407459149367604,0.545575984417725,0.018498199044287015
43,0.5365289397884699,0.02299217731599189,0.5473929534201957,0.01789542060376652
44,0.5372792334389054,0.0231703300426324,0.5540540414997678,0.01259413094051786
45,0.5378000790262375,0.023291144943098127,0.5548771786974993,0.012959707962278192
46,0.5432831326583637,0.015177893984642591,0.5578826999802529,0.010464638573356026
47,0.5437342505797107,0.01531486072940678,0.5585759944907748,0.009764598007494962
48,0.547279630814978,0.012830958477901368,0.55983926839373,0.009064268796808878
49,0.548710875417098,0.012427651729837338,0.5606214369375928,0.00829949055667422
50,0.5487732977888713,0.01242977685044185,0.5607524865563495,0.00816837021132793
51,0.5497514061341902,0.012659667086432192,0.5607525084409806,0.008168371337859635
52,0.5508359778394322,0.012729930871764704,0.5615172129252731,0.008566419484534118
53,0.5510638137870124,0.012838794727401627,0.5637190577639722,0.008570995013162719
54,0.5519531866135796,0.011968833625745452,0.565568197874574,0.009132914794901512
55,0.5531308833127782,0.011678776162943936,0.5659427092723106,0.009277462159819554
56,0.5539614516144349,0.01081219067964481,0.5660232360517252,0.009325347868152848
