eval_index,canonical_mean_hv,canonical_std_hv,canonical_lower,canonical_upper,display_mean_hv,display_std_hv,pareto_mean_size,pareto_std_size
1,1.119773351508191,0.0,1.119773351508191,1.119773351508191,2.7994333787704773,0.0,1.0,0.0
2,1.119773351508191,0.0,1.119773351508191,1.119773351508191,2.7994333787704773,0.0,2.0,0.0
3,1.119773351508191,0.0,1.119773351508191,1.119773351508191,2.7994333787704773,0.0,2.0,0.0
4,1.1238773754258742,0.005324875184224163,1.11855250024165,1.1292022506100983,2.8096934385646852,0.013312187960560417,2.8,0.39999999999999997
5,1.1514769785876022,0.04218612289874389,1.1092908556888583,1.1936631014863461,2.8786924464690054,0.1054653072468598,3.8,0.39999999999999997
6,1.1555128483517072,0.043859845205792065,1.111653003145915,1.1993726935574993,2.888782120879268,0.10964961301448023,4.6,0.4898979485566356
7,1.1840761297516353,0.05974742301174431,1.124328706739891,1.2438235527633796,2.960190324379089,0.14936855752936076,4.6,0.48989794855663565
8,1.2255700052312326,0.11959756857857118,1.1059724366526615,1.3451675738098037,3.063925013078081,0.298993921446428,5.2,0.7483314773547882
9,1.3077707955262634,0.10812413815786538,1.199646657368398,1.4158949336841289,3.2694269888156584,0.2703103453946635,5.8,0.7483314773547882
10,1.3742469770345793,0.2172892243457655,1.1569577526888137,1.591536201380345,3.435617442586447,0.5432230608644137,6.4,1.0198039027185568
11,1.383274918737603,0.23252499797565832,1.1507499207619447,1.6157999167132613,3.458187296844008,0.5813124949391458,7.2,1.16619037896906
12,1.3833255517793774,0.2324872641008407,1.1508382876785368,1.615812815880218,3.4583138794484434,0.5812181602521017,7.8,1.32664991614216
13,1.391194282068191,0.22966332098803488,1.1615309610801563,1.6208576030562258,3.477985705170478,0.574158302470087,8.4,1.4966629547095764
14,1.4358435940825074,0.2276174349819642,1.2082261591005432,1.6634610290644716,3.589608985206268,0.5690435874549102,9.0,1.2649110640673518
15,1.4396090722835908,0.23167118237337112,1.2079378899102198,1.6712802546569618,3.599022680708977,0.5791779559334277,9.6,1.624807680927192
16,1.440257810443305,0.231336658768228,1.208921151675077,1.671594469211533,3.600644526108263,0.5783416469205699,9.8,1.469693845669907
17,1.5327141152718327,0.2508357588565212,1.2818783564153113,1.783549874128354,3.83178528817958,0.627089397141303,10.4,1.4966629547095764
18,1.6003066082569954,0.2781486465781569,1.3221579616788386,1.8784552548351523,4.000766520642489,0.6953716164453922,10.6,1.7435595774162693
19,1.602147020483099,0.27949017590504666,1.3226568445780522,1.8816371963881457,4.005367551207747,0.6987254397626165,11.2,1.5999999999999999
20,1.6454269807339024,0.21719211307779848,1.4282348676561039,1.8626190938117009,4.113567451834755,0.5429802826944962,11.8,1.32664991614216
21,1.647976241108168,0.2175787833970714,1.4303974577110965,1.8655550245052395,4.11994060277042,0.5439469584926786,12.6,1.0198039027185568
22,1.6490197146514103,0.21812296238373524,1.430896752267675,1.8671426770351456,4.122549286628525,0.545307405959338,13.0,1.4142135623730951
23,1.7590884413249754,0.17802447081387532,1.5810639705111,1.9371129121388508,4.3977211033124375,0.4450611770346881,13.8,1.6
24,1.7595697598775104,0.17826532009069157,1.5813044397868188,1.937835079968202,4.398924399693776,0.4456633002267289,14.6,1.8547236990991407
25,1.759898557359137,0.17808903625460118,1.5818095211045358,1.9379875936137383,4.399746393397843,0.4452225906365029,15.4,1.624807680927192
26,1.7604750023818916,0.1781732954517094,1.5823017069301821,1.938648297833601,4.401187505954728,0.4454332386292735,15.6,1.624807680927192
27,1.7923072444062265,0.11603130554012893,1.6762759388660975,1.9083385499463554,4.480768111015566,0.29007826385032226,16.2,2.1354156504062622
28,1.792318095416763,0.11603594155027296,1.67628215386649,1.908354036967036,4.480795238541907,0.2900898538756823,16.4,2.3323807579381204
29,1.8527592648133662,0.009646010943476611,1.8431132538698896,1.8624052757568428,4.631898162033416,0.0241150273586915,17.0,2.280350850198276
30,1.8529409106754362,0.009432447077352536,1.8435084635980836,1.8623733577527888,4.63235227668859,0.02358111769338142,17.6,2.727636339397171
31,1.8529435980155462,0.009431116042340855,1.8435124819732054,1.862374714057887,4.632358995038864,0.023577790105852224,18.2,3.1874754901018454
32,1.853199567915016,0.00935165386521949,1.8438479140497965,1.8625512217802354,4.632998919787539,0.023379134663048785,18.8,3.249615361854384
33,1.85434225604251,0.009108673219240788,1.8452335828232693,1.8634509292617507,4.635855640106274,0.022771683048101912,19.4,3.1999999999999997
34,1.854436972227441,0.009166909490925844,1.845270062736515,1.8636038817183669,4.636092430568602,0.022917273727314724,19.8,3.1874754901018454
35,1.8558248671999216,0.007887999484846043,1.8479368677150756,1.8637128666847675,4.639562167999803,0.01971999871211498,19.6,2.244994432064365
36,1.8569335361898638,0.007677349961211802,1.849256186228652,1.8646108861510755,4.642333840474659,0.019193374903029446,20.2,2.7129319932501073
37,1.8570569195903612,0.00754839053333869,1.8495085290570226,1.8646053101237,4.642642298975903,0.018870976333346577,20.6,3.0066592756745814
38,1.8578190627755315,0.006819172142775117,1.8509998906327565,1.8646382349183066,4.644547656938829,0.01704793035693776,20.8,2.7856776554368237
39,1.8593852651873561,0.005839297768865014,1.853545967418491,1.8652245629562212,4.64846316296839,0.014598244422162445,20.8,2.3151673805580453
40,1.8599534760198548,0.005513971360678637,1.8544395046591762,1.8654674473805335,4.649883690049637,0.013784928401696707,21.4,2.0591260281974
41,1.8609366971916619,0.005360025973828772,1.8555766712178332,1.8662967231654906,4.652341742979154,0.013400064934571874,21.6,1.3564659966250536
