eval_index,canonical_mean_hv,canonical_std_hv,canonical_lower,canonical_upper,display_mean_hv,display_std_hv,pareto_mean_size,pareto_std_size
1,0.5662571568010829,0.16815489307003711,0.3981022637310458,0.73441204987112,1.415642892002707,0.4203872326750927,1.0,0.0
2,0.8603168108005818,0.18379454037576917,0.6765222704248126,1.044111351176351,2.150792027001454,0.45948635093942275,1.8,0.4
3,0.9958378621315,0.10372428985876829,0.8921135722727318,1.0995621519902683,2.4895946553287507,0.25931072464692073,2.6,0.4898979485566356
4,0.9986682463407931,0.10368446084279762,0.8949837854979955,1.1023527071835908,2.4966706158519822,0.2592111521069941,3.4,0.4898979485566356
5,0.9998775397621117,0.10383112724665888,0.8960464125154528,1.1037086670087706,2.499693849405279,0.25957781811664715,4.4,0.48989794855663565
6,1.0208401451253548,0.07000361095874737,0.9508365341666074,1.0908437560841022,2.5521003628133876,0.17500902739686844,4.8,0.7483314773547882
7,1.0520004366467783,0.10151521979853162,0.9504852168482467,1.15351565644531,2.630001091616946,0.2537880494963291,5.2,0.39999999999999997
8,1.0532149379517848,0.10219867710623037,0.9510162608455544,1.1554136150580152,2.6330373448794617,0.25549669276557585,6.0,0.6324555320336759
9,1.0553677692465402,0.10508921700237378,0.9502785522441664,1.160456986248914,2.6384194231163502,0.26272304250593437,6.2,0.39999999999999997
10,1.158362505653805,0.22326724800442127,0.9350952576493836,1.3816297536582263,2.8959062641345126,0.5581681200110531,7.0,0.6324555320336759
11,1.1663872760167235,0.21476931273187455,0.9516179632848489,1.3811565887485981,2.915968190041809,0.5369232818296865,7.2,0.9797958971132712
12,1.169441121314064,0.2140215787963559,0.9554195425177082,1.38346270011042,2.9236028032851595,0.5350539469908896,7.4,1.4966629547095764
13,1.170002876303746,0.21404226933314122,0.9559606069706048,1.3840451456368872,2.9250071907593655,0.535105673332853,8.0,1.8973665961010275
14,1.2922843010769,0.2153820936639774,1.0769022074129226,1.5076663947408775,3.23071075269225,0.5384552341599436,8.8,1.7204650534085253
15,1.2947749892845883,0.21803436492645914,1.0767406243581292,1.5128093542110475,3.2369374732114706,0.5450859123161477,9.6,2.0591260281974
16,1.2966897108176678,0.22039186532176722,1.0762978454959007,1.517081576139435,3.2417242770441694,0.550979663304418,10.2,1.7204650534085253
17,1.3410816232742038,0.18452674440556482,1.156554878868639,1.5256083676797685,3.35270405818551,0.4613168610139121,10.8,1.5999999999999999
18,1.3714854791383622,0.17441171296168165,1.1970737661766806,1.5458971921000437,3.428713697845905,0.43602928240420413,11.6,1.4966629547095764
19,1.3728145818531963,0.17327014017814088,1.1995444416750554,1.5460847220313372,3.4320364546329905,0.43317535044535216,12.0,1.4142135623730951
20,1.3749238444476624,0.17328274329820056,1.2016411011494619,1.5482065877458628,3.4373096111191566,0.43320685824550137,12.0,1.0954451150103321
21,1.3766015860237857,0.17480458349408903,1.2017970025296967,1.5514061695178747,3.4415039650594643,0.43701145873522257,11.6,1.9595917942265424
22,1.3773534069056703,0.17511736278553644,1.2022360441201339,1.5524707696912068,3.443383517264176,0.4377934069638411,12.2,1.9390719429665317
23,1.4149816817983611,0.18825900123009687,1.2267226805682643,1.603240683028458,3.5374542044959023,0.47064750307524206,13.0,1.6733200530681511
24,1.4157279864238004,0.18834179785227434,1.227386188571526,1.6040697842760747,3.5393199660595016,0.47085449463068596,13.2,1.7204650534085253
25,1.4171056804270408,0.1892457503699038,1.227859930057137,1.6063514307969446,3.542764201067601,0.47311437592475947,13.8,1.7204650534085253
26,1.4187501653916217,0.19049330294117717,1.2282568624504444,1.609243468332799,3.5468754134790546,0.47623325735294286,14.6,2.0591260281974
27,1.4196871153534434,0.190778370511126,1.2289087448423173,1.6104654858645695,3.549217788383608,0.4769459262778149,14.8,1.9390719429665317
28,1.4212859406080773,0.19189800354807784,1.2293879370599994,1.6131839441561553,3.5532148515201927,0.47974500887019456,14.6,2.0591260281974
29,1.4438205951184262,0.1803753854474436,1.2634452096709825,1.62419598056587,3.6095514877960655,0.45093846361860906,14.8,1.8330302779823362
30,1.4442721597549206,0.1802740799438851,1.2639980798110355,1.6245462396988057,3.6106803993873013,0.4506851998597128,15.2,1.4696938456699067
31,1.4856585249080614,0.11015180113218027,1.3755067237758811,1.5958103260402416,3.7141463122701537,0.27537950283045065,16.0,1.6733200530681511
32,1.4857212933220407,0.11012900995266743,1.3755922833693732,1.5958503032747082,3.7143032333051016,0.2753225248816686,16.8,1.9390719429665315
33,1.4867571282100163,0.10941411105524126,1.377343017154775,1.5961712392652576,3.716892820525041,0.27353527763810315,17.8,1.9390719429665315
34,1.4871517623339279,0.10976010932776839,1.3773916530061594,1.5969118716616963,3.7178794058348203,0.274400273319421,18.8,1.9390719429665315
35,1.4942782578830385,0.11551966568946015,1.3787585921935783,1.6097979235724986,3.735695644707596,0.2887991642236505,19.6,2.0591260281974
36,1.4943424105324756,0.1155618590823411,1.3787805514501346,1.6099042696148167,3.735856026331189,0.28890464770585267,20.6,2.0591260281974
37,1.4946791794646266,0.11537352001262963,1.379305659451997,1.6100526994772562,3.736697948661566,0.28843380003157404,21.2,1.7204650534085253
38,1.5303904196841496,0.10369323238883216,1.4266971872953174,1.6340836520729818,3.825976049210374,0.25923308097208037,21.6,2.0591260281974
39,1.5783383304068426,0.01446066122486067,1.563877669181982,1.5927989916317031,3.9458458260171065,0.03615165306215157,22.6,2.0591260281974
40,1.5785866487351228,0.01439902392356744,1.5641876248115554,1.5929856726586902,3.946466621837807,0.03599755980891861,23.2,2.481934729198171
41,1.5788502630784544,0.014298236736595908,1.5645520263418586,1.5931484998150502,3.947125657696136,0.0357455918414897,24.2,2.481934729198171
42,1.5794330419936642,0.01394840391982858,1.5654846380738356,1.5933814459134927,3.9485826049841606,0.0348710097995714,25.2,2.481934729198171
43,1.579588249916106,0.013760411236777077,1.565827838679329,1.593348661152883,3.9489706247902645,0.03440102809194271,26.0,2.756809750418044
44,1.5829568654667292,0.013112551293359545,1.5698443141733696,1.5960694167600888,3.9573921636668232,0.03278137823339879,26.6,3.1368774282716245
45,1.5830708059872545,0.013139862731378016,1.5699309432558763,1.5962106687186326,3.957677014968136,0.03284965682844505,27.4,3.2619012860600183
46,1.584258469535061,0.012013657648221638,1.5722448118868393,1.5962721271832827,3.9606461738376515,0.0300341441205541,28.0,2.8284271247461903
47,1.5843564719936358,0.012088267788702792,1.572268204204933,1.5964447397823387,3.9608911799840896,0.030220669471756934,28.8,2.85657137141714
48,1.5851221637804702,0.011902856942132726,1.5732193068383376,1.5970250207226029,3.9628054094511755,0.029757142355331844,29.8,2.85657137141714
49,1.5854305757663867,0.011866100953769025,1.5735644748126176,1.5972966767201557,3.9635764394159665,0.02966525238442254,30.8,2.85657137141714
50,1.5854444741860836,0.011851232901470233,1.5735932412846134,1.5972957070875538,3.9636111854652087,0.029628082253675588,31.4,3.2619012860600183
51,1.585654444790633,0.011991308885592623,1.5736631359050406,1.5976457536762256,3.9641361119765826,0.029978272213981513,32.4,3.2619012860600183
52,1.5858877817699262,0.011997108257112518,1.5738906735128138,1.5978848900270386,3.964719454424815,0.029992770642781143,33.2,3.54400902933387
53,1.5859365573768982,0.011947869519008095,1.5739886878578901,1.5978844268959063,3.964841393442245,0.02986967379752001,33.6,3.5552777669262356
54,1.5861276833384514,0.011854248959590297,1.5742734343788611,1.5979819322980418,3.9653192083461284,0.029635622398975558,34.0,3.4641016151377544
55,1.5863835620994375,0.011819821264551734,1.5745637408348858,1.5982033833639893,3.965958905248594,0.029549553161379256,34.4,3.3823069050575527
56,1.5865626975702702,0.011620830370040322,1.57494186720023,1.5981835279403105,3.9664067439256754,0.02905207592510082,34.6,2.9393876913398134
