eval_index,parego_mean_hv,parego_raw_std_hv,parego_plot_band,parego_lower,parego_upper,llmbo_mo_mean_hv,llmbo_mo_raw_std_hv,llmbo_mo_plot_band,llmbo_mo_lower,llmbo_mo_upper
1,0.5662571568010829,0.16815489307003711,0.16815489307003711,0.3981022637310458,0.73441204987112,1.119773351508191,0.0,0.0,1.119773351508191,1.119773351508191
2,0.8603168108005818,0.18379454037576917,0.18379454037576917,0.6765222704248126,1.044111351176351,1.119773351508191,0.0,0.0,1.119773351508191,1.119773351508191
3,0.9958378621315,0.10372428985876829,0.10372428985876829,0.8921135722727318,1.0995621519902683,1.119773351508191,0.0,0.0,1.119773351508191,1.119773351508191
4,0.9986682463407931,0.10368446084279762,0.10368446084279762,0.8949837854979955,1.1023527071835908,1.1238773754258742,0.005324875184224163,0.005324875184224163,1.11855250024165,1.1292022506100983
5,0.9998775397621117,0.10383112724665888,0.10383112724665888,0.8960464125154528,1.1037086670087706,1.1514769785876022,0.04218612289874389,0.04218612289874389,1.1092908556888583,1.1936631014863461
6,1.0208401451253548,0.07000361095874737,0.07000361095874737,0.9508365341666074,1.0908437560841022,1.1555128483517072,0.043859845205792065,0.043859845205792065,1.111653003145915,1.1993726935574993
7,1.0520004366467783,0.10151521979853162,0.10151521979853162,0.9504852168482467,1.15351565644531,1.1840761297516353,0.05974742301174431,0.05974742301174431,1.124328706739891,1.2438235527633796
8,1.0532149379517848,0.10219867710623037,0.10219867710623037,0.9510162608455544,1.1554136150580152,1.2255700052312326,0.11959756857857118,0.11959756857857118,1.1059724366526615,1.3451675738098037
9,1.0553677692465402,0.10508921700237378,0.10508921700237378,0.9502785522441664,1.160456986248914,1.3077707955262634,0.10812413815786538,0.10812413815786538,1.199646657368398,1.4158949336841289
10,1.158362505653805,0.22326724800442127,0.22326724800442127,0.9350952576493836,1.3816297536582263,1.3742469770345793,0.2172892243457655,0.2172892243457655,1.1569577526888137,1.591536201380345
11,1.1663872760167235,0.21476931273187455,0.21476931273187455,0.9516179632848489,1.3811565887485981,1.383274918737603,0.23252499797565832,0.23252499797565832,1.1507499207619447,1.6157999167132613
12,1.169441121314064,0.2140215787963559,0.2140215787963559,0.9554195425177082,1.38346270011042,1.3833255517793774,0.2324872641008407,0.2324872641008407,1.1508382876785368,1.615812815880218
13,1.170002876303746,0.21404226933314122,0.21404226933314122,0.9559606069706048,1.3840451456368872,1.391194282068191,0.22966332098803488,0.22966332098803488,1.1615309610801563,1.6208576030562258
14,1.2922843010769,0.2153820936639774,0.2153820936639774,1.0769022074129226,1.5076663947408775,1.4358435940825074,0.2276174349819642,0.2276174349819642,1.2082261591005432,1.6634610290644716
15,1.2947749892845883,0.21803436492645914,0.21803436492645914,1.0767406243581292,1.5128093542110475,1.4396090722835908,0.23167118237337112,0.23167118237337112,1.2079378899102198,1.6712802546569618
16,1.2966897108176678,0.22039186532176722,0.22039186532176722,1.0762978454959007,1.517081576139435,1.440257810443305,0.231336658768228,0.231336658768228,1.208921151675077,1.671594469211533
17,1.3410816232742038,0.18452674440556482,0.18452674440556482,1.156554878868639,1.5256083676797685,1.5327141152718327,0.2508357588565212,0.2508357588565212,1.2818783564153113,1.783549874128354
18,1.3714854791383622,0.17441171296168165,0.17441171296168165,1.1970737661766806,1.5458971921000437,1.6003066082569954,0.2781486465781569,0.2781486465781569,1.3221579616788386,1.8784552548351523
19,1.3728145818531963,0.17327014017814088,0.17327014017814088,1.1995444416750554,1.5460847220313372,1.602147020483099,0.27949017590504666,0.27949017590504666,1.3226568445780522,1.8816371963881457
