eval_index,hv
1,0.163805477170101
2,0.19813246183295166
3,0.21352708474547738
4,0.22282800759817117
5,0.23449502887881035
6,0.24275920933344655
7,0.25447057979804233
8,0.27003963782494356
9,0.27420741261143733
10,0.274495914839952
11,0.274495914839952
12,0.27503536488486613
13,0.27503536488486613
14,0.2762555466971198
15,0.2779961475052011
16,0.27799810735585545
17,0.2781837017319391
18,0.27923356175562297
19,0.2792523082602513
20,0.2792523082602513
21,0.2792523082602513
22,0.2792523082602513
23,0.2792523082602513
24,0.2792523082602513
25,0.2792523082602513
26,0.27991342641066685
27,0.29379740963572515
28,0.29390639916385297
29,0.29396530253083936
30,0.2940286193202941
31,0.2941332899676188
32,0.29415305029954636
33,0.2942581312219837
34,0.2992638668344175
35,0.2992896043846534
36,0.30080952124335064
37,0.30103914007760774
38,0.30103914007760774
39,0.30130087203088735
40,0.30131682407906824
41,0.30131682407906824
42,0.30131682407906824
43,0.30131682407906824
44,0.30131682407906824
45,0.30131682407906824
46,0.30131682407906824
47,0.3013172406416169
48,0.301727675471003
49,0.3017323758723833
50,0.3027249275897131
51,0.3027249275897131
52,0.3027488101512115
53,0.3027496531123252
54,0.30281523245537517
55,0.3028223051124766
56,0.3029013822515541
