variant,label,mean_canonical_hv,std_canonical_hv,median_canonical_hv,wins_as_best_seed
baseline,Baseline,0.323993717525,0.048599671052,0.357755024154,0
baseline_warmstart,Baseline+WarmStart,0.345395290541,0.049947719691,0.368874569609,1
baseline_llm_region,Baseline+LLM_Region,0.352613207952,0.043746884308,0.367465959157,3
llmbo_mo,LLMBO-MO,0.330797004627,0.043046042261,0.354476318008,1
